stat_id,nb_no_action_d,nb_move_out_d,nb_move_out_and_kill_d,nb_move_forward_d,nb_get_stuck_behind_d,nb_enter_safezone_d,nb_move_in_safe_zone_d,nb_reach_goal_d,nb_kill_d,nb_reach_pied_escalier_d,nb_avance_recule_pied_escalier_d,nb_marche_1_d,nb_marche_2_d,nb_marche_3_d,nb_marche_4_d,nb_marche_5_d,nb_marche_6_d,nb_no_action_e,nb_move_out_e,nb_move_out_and_kill_e,nb_move_forward_e,nb_get_stuck_behind_e,nb_enter_safezone_e,nb_move_in_safe_zone_e,nb_reach_goal_e,nb_kill_e,nb_reach_pied_escalier_e,nb_avance_recule_pied_escalier_e,nb_marche_1_e,nb_marche_2_e,nb_marche_3_e,nb_marche_4_e,nb_marche_5_e,nb_marche_6_e
23431,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0
23432,1,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,14,0,1,1,1,0,0,0,0,0,0,0,0,0
23433,1,1,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0
23434,3,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
23435,0,1,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,2,1,0,0,0,0,0,0,0,0,0
23436,6,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
23437,10,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
23438,2,1,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0
23439,12,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
23440,2,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,13,0,1,1,1,0,0,0,0,0,0,0,0,0
23441,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23442,0,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,1,1,0,0,0,0,0,0,0,0,0
23443,11,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0
23444,3,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0
23445,3,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
23446,2,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0
23447,1,1,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,16,0,1,2,1,0,0,0,0,0,0,0,0,0
23448,6,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
23449,0,1,0,17,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,1,1,0,0,0,0,0,0,0,0,0
23450,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
23451,17,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
