participant_id,game_id,player_id,num_player_game,action_stats,turn_order,reward_action_agent,reward_rectified,nb_moves,is_winner,nb_actions_interdites,nb_pawns_in_goal
504,252,3,2,504,2,0,0,27,False,0,0
505,253,1,1,505,1,0,0,17,False,0,0
506,253,3,2,506,2,0,0,17,True,0,1
507,254,1,1,507,1,-30,0,18,True,3,1
508,254,3,2,508,2,-40,0,17,False,4,0
509,255,1,1,509,1,0,0,25,True,0,1
510,255,3,2,510,2,0,0,24,False,0,0
511,256,1,1,511,1,-20,0,21,True,2,1
512,256,3,2,512,2,0,0,20,False,0,0
513,257,1,1,513,1,0,0,22,False,0,0
514,257,3,2,514,2,0,0,22,True,0,1
515,258,1,1,515,1,-10,0,25,True,1,1
516,258,3,2,516,2,0,0,24,False,0,0
517,259,1,1,517,1,0,0,23,False,0,0
518,259,3,2,518,2,0,0,23,True,0,1
519,260,1,1,519,1,0,0,22,False,0,0
520,260,3,2,520,2,-10,0,22,True,1,1
521,261,1,1,521,1,-20,0,20,False,2,0
522,261,3,2,522,2,-20,0,20,True,2,1
523,262,1,1,523,1,-10,0,23,True,1,1
524,262,3,2,524,2,-10,0,22,False,1,0
525,263,1,1,525,1,0,0,21,False,0,0
526,263,3,2,526,2,0,0,21,True,0,1
527,264,1,1,527,1,0,0,21,True,0,1
528,264,3,2,528,2,0,0,20,False,0,0
529,265,1,1,529,1,-10,0,20,True,1,1
530,265,3,2,530,2,0,0,19,False,0,0
531,266,1,1,531,1,-10,0,21,False,1,0
532,266,3,2,532,2,-20,0,21,True,2,1
533,267,1,1,533,1,0,0,27,False,0,0
534,267,3,2,534,2,0,0,27,True,0,1
535,268,1,1,535,1,-10,0,23,False,1,0
536,268,3,2,536,2,-20,0,23,True,2,1
537,269,1,1,537,1,0,0,21,False,0,0
538,269,3,2,538,2,0,0,21,True,0,1
539,270,1,1,539,1,0,0,37,False,0,0
540,270,3,2,540,2,-20,0,37,True,2,1
541,271,1,1,541,1,0,0,20,False,0,0
542,271,3,2,542,2,0,0,20,True,0,1
543,272,1,1,543,1,0,0,20,True,0,1
544,272,3,2,544,2,0,0,19,False,0,0
545,273,1,1,545,1,0,0,19,False,0,0
546,273,3,2,546,2,0,0,19,True,0,1
547,274,1,1,547,1,-10,0,31,False,1,0
548,274,3,2,548,2,-10,0,31,True,1,1
549,275,1,1,549,1,0,0,23,True,0,1
550,275,3,2,550,2,0,0,22,False,0,0
551,276,1,1,551,1,0,0,19,False,0,0
552,276,3,2,552,2,0,0,19,True,0,1
553,277,1,1,553,1,0,0,26,True,0,1
554,277,3,2,554,2,0,0,25,False,0,0
555,278,1,1,555,1,0,0,24,False,0,0
556,278,3,2,556,2,0,0,24,True,0,1
557,279,1,1,557,1,-10,0,20,True,1,1
558,279,3,2,558,2,0,0,19,False,0,0
559,280,1,1,559,1,0,0,20,False,0,0
560,280,3,2,560,2,0,0,20,True,0,1
